Unique Unit ID	Service Location	Type of Unit	Combat Division	Combat Brigade & Field Artillery	Camp Organized	When Unit Organized	Location * This will be available on the reference spreadsheet	Unit Location changed	When Unit change camps	Port of Embarkation	When Unit Embarked	Where Unit Served--SOS	"Where Unit Served--""Army"" troops"	Description of Unit Responsibilities	Unusual Unit Experiences	Demobilized When	Demobilized Where	Interpretive Assistance**for me	Companies															
370 Inf	France	Infantry Regiment	93rd Division		Camp Logan	1917-12		Camp Stuart	1918-03	Newport News	1918-04					1919-03	Camp Grant via Camp Upton		"A, B, D, K, Hq"															
371 Inf	France	Infantry Regiment	93rd Division		Camp Jackson	1917-12				Newport News	1918-04					1919-02	Camp Jackson via Camp Upton		"A, B, D, E, F, G, H, L, M, Hq, MG, Sup Co."															
372 Inf	France	Infantry Regiment	93rd Division		Camp Stuart	1918-01				Newport News	1918-03					1919-03	Camp Sherman via Camp Upton		"E, Hq"															
Engineer Service Battalion 																		Engineer Service Battalion 																
506 Engrs Serv Bn	France	Engineer Service Battalion			Camp Lee	1917-10				Hoboken	1918-01	YES				1919-06	Camp Meade via Camp Merritt		B															
513 Engrs Serv Bn	France	Engineer Service Battalion			Camp Travis	1918-01		Camp Stuart	1918-03	Newport News	1918-04	NO	YES			1919-06	Camp Bowie via Camp Upton		A															
514 Engrs Serv Bn	France	Engineer Service Battalion			Camp Gordon	1918-02				Newport News	1918-04	YES				1919-06	Camp Gordon via Camp Upton		C															
520 Engrs Serv Bn	France	Engineer Service Battalion			Camp Devens	1918-04		Camp Humphreys	1918-06	Hoboken	1918-08	YES				1919-07	Camp Sherman via Camp Alexander		"A, C, D"															
528 Engrs Serv Bn	France	Engineer Service Battalion			Camp Dodge	1918-04				Hoboken	1918-07	NO	YES			1919-06	Camp Gordon via Camp Upton																	
530 Engrs Serv Bn	France	Engineer Service Battalion			Camp Funston	1918-04				Hoboken	1918-07	NO	YES--with 2nd Army			1919-06	Camp Upton		"D, Med Det"															
532 Engrs Serv Bn	France	Engineer Service Battalion			Camp Taylor	1918-05		Camp Stuart	1918-07	Newport News	1918-07	NO	YES			1919-07	Camp Taylor via Camp Mills		"A, B, D"															
534 Engrs Serv Bn	France	Engineer Service Battalion			Camp Jackson	1918-05		Camp Upton	1918-08	Hoboken	1918-08	NO	YES			1919-07	Camp Devens		"A, C"															
535 Engrs Serv Bn	France	Engineer Service Battalion			Camp Lee	1918-05				Newport News	1918-08	NO	YES	With 1st Army Sept-Nov 1918		1919-07	Camp Upton		"A, C"															
536 Engrs Serv Bn	France	Engineer Service Battalion			Camp Custer	1918-05		Camp Upton	1918-08	Hoboken	1918-08	YES				1919-07	Camp Jackson		"A, C, D"															
538 Engrs Serv Bn	France	Engineer Service Battalion			Camp Meade	1918-05				Hoboken	1918-08	YES until 1918-12				1918-12 converted to TC units			"A, B, C, D"															
540 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-08		Camp Merritt	1918-10	Hoboken	1918-10	YES				1919-07	Camp Lee via Camp Upton		C															
542 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-08				Hoboken	1918-09	NO	YES			1919-06	Camp Dix via Camp Upton		"A, B, D"															
543 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-08				Hoboken	1918-09	NO	YES			1919-07	Camp Lee via Camp Alexander		"C, D"															
545 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-08				Hoboken	1918-09	YES	YES--with 1st Army			1919-06	Camp Meade via Camp Merritt		"A, B, C, D"															
546 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-09				Hoboken	1918-09	NO	YES--with 1st Army			1919-06	Camp Jackson via Newport News		B															
547 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-09		Camp Merritt	1918-10	Hoboken	1918-10	YES				1919-06	Camp Lee via Newport News		A															
548 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-09		Camp Merritt	1918-10	Hoboken	1918-10	YES				1919-06	Camp Gordon via Camp Mills		"A, D"															
549 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-09		Camp Merritt	1918-11	Hoboken	1918-11	YES				1919-06	Camp Lee via Camp Alexander		B															
550 Engrs Serv Bn	France	Engineer Service Battalion			Camp Humphreys	1918-09		Camp Merritt	1918-11	Hoboken	1918-11	YES				1919-06	Camp Gordon via Camp Mills		A															
Pioneer Infantry 																		Pioneer Infantry 																
801 Pion Inf	France	Pioneer Infantry Regiments			Camp Taylor	1918-09		Camp Merritt	1918-09	Hoboken	1918-09	YES		Served as a labor unit working on the docks. Commanded by Colonel G.F. Hamilton		1919-06	Camp Taylor via Camp Alexander		"A, B, C, D, Sup Co"															
802 Pion Inf	France	Pioneer Infantry Regiments			Camp Sherman	1918-07		Camp Mill	1918-08	Hoboken	1918-08	YES		Served as a labor unit working on railroad construction at Clermont. Commanded by Lieutenant Colonel A.P. Watts		1919-07	Camp Gordon via Camp Mills		"A, I, M, Sup Co"															
803 Pion Inf	France	Pioneer Infantry Regiments			Camp Grant	1918-07		Camp Upton	1918-09	Hoboken	1918-09		YES	Served on railroad construction duty with the 2nd Army Engineers. Cammanded by Colonel M.L. McGraw		1919-07	Camp Grant via Newport News		K															
804 Pion Inf	France	Pioneer Infantry Regiments			Camp Dodge	1918-07		Camp Upton	1918-08	Hoboken	1918-09		YES	Served with the 2nd Army. Commanded by Colonel S.P. Lyon		1919-07	Camp Gordon via Camp Mills		Hq															
805 Pion Inf	France	Pioneer Infantry Regiments			Camp Funston	1918-06		Camp Upton	1918-08	"Quebec, Canada"	1918-09		YES	"Nicknamed the ""Bearcats."" Built roads and light railways under direction of the 2nd Army Engineers. Comanded by Cilonel Chauncey B. Humphrey."		1919-07	Camp Shelby via Camp Upton		"A, B, Hq"															
807 Pion Inf	France	Pioneer Infantry Regiments			Camp Dix	1918-07				Hoboken	1918-09		YES	"Served performing construction work under the First Army Engineers. Awarded the Silver Band for its participation in the Meuse-Argonne Offensive, 1918-10-25 to 1918-11-11. "		1919-07	Camp Jackson via Newport News		"B, E, F, G, I, K, L, M, Hq "															
808 Pion Inf	France	Pioneer Infantry Regiments			Camp Meade	1918-07				Hoboken	1918-08		YES	"First of the pioneer infantry regiments to arrive in France, landing at Brest 1918-09-07. Served performing salvage work, road construction, narrow guage railroad construction under the First and Second Army Engineers. Commanded by Colonel H. Kinnison."		1919-06	Camp Lee via Camp Alexander		"B, C, D, E, F, G, I, K, L, M"															
811 Pion Inf	France	Pioneer Infantry Regiments			Camp Dix	1918-08				Hoboken	1918-10		YES	Performed stevedore work. Commanded byColonel D.G. Davids.		1919-07	Camp Dix via Camp Mills		"C, D, I, K, M, Hq"															
813 Pion Inf	France	Pioneer Infantry Regiments			Camp Sherman	1918-08		Camp Mills	1918-09	Hoboken	1918-09		YES	"Served in support of Army troops repairing roads, salvage work, and the unpleasant task of burying the dead. "		1919-07	Camp Dix via Camp Alexander		"E, F, G, H, I, M, Hq"															
814 Pion Inf	France	Pioneer Infantry Regiments			Camp Taylor	1918-08		Camp Upton	1918-10	Hoboken	1918-10			Served with the Corps troops until 1918-12. Commanded by Colonel C.A. Dolph.		1919-07	Camp Taylor via Camp Mills		"D, E"															
815 Pion Inf	France	Pioneer Infantry Regiments			Camp Funston	1918-09		Camp Merritt	1918-09	Hoboken	1918-09		YES	Served repairing roads with First Army Engineers. Commanded by Colonel L.P. Butler.		1919-07	Camp Travis via Camp Stuart		Sup Co															
Service (Labor) Battalions  																		Service (Labor) Battalions  																
304 Labor Bn	France	Service (Labor) Battalions			France	1918-06		AEF				?				1919-06	Camp Lee		"A, B, C, D"															
305 Labor Bn	France	Service (Labor) Battalions			France	1918-06		AEF				YES				1919-07	Camp Jackson via Camp Mills		A															
306 Labor Bn	France	Service (Labor) Battalions			France	1918-06		AEF				YES				1919-07	Camp Hill		"A, C"															
307 Labor Bn	France	Service (Labor) Battalions			France	1918-06		AEF				YES				1919-06	Camp Upton		A															
308 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-03		Newport News	1918-03			YES				1919-07	Camp Gordon via Camp Mills		"A, B"															
310 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-03		Newport News	1918-04			YES				1919-07	Camp Pike via Camp Jackson		B															
311 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-03		Newport News	1918-07			YES				1919-08	Camp Shelby via Camp Merritt		"A, D"															
312 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-03		Hoboken	1918-03			YES				1919-06	Camp Gordon via Camp Upton		"A, B, C, D"															
313 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-03		Newport News	1918-03			YES				1919-07	Camp Gordon via Camp Alexander		"A, B, C"															
316 Labor Bn	France	Service (Labor) Battalions			Camp Alexander	1918-09				Newport News	1918-09	YES				1919-07	Camp Gordon via Norfolk		C															
319 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-06				Newport News	1918-07	YES				1919-07	Camp Shelby via Camp Alexander																	
320 Labor Bn	France	Service (Labor) Battalions			Camp Lee	1918-06				Newport News	1918-07	YES				1919-07	Camp Lee via Camp Alexander		"A, B, D"															
321 Labor Bn	France	Service (Labor) Battalions			Camp Jackson; Camp Sevier	1918-05; 1918-07		Camp Upton	1918-07	Hoboken	1918-07	YES				1919-08	Camp Lee via Camp Merritt		"A, B, C, D, Med Det"															
323 Labor Bn	France	Service (Labor) Battalions			Camp Grant	1918-05		Camp Upton	1918-07	Hoboken	1918-07	YES				1919-07	Camp Lee via Camp Mills		"A, B, C, D"															
328 Labor Bn	France	Service (Labor) Battalions			Camp Alexander	1918-09				Newport News	1919-10	YES			organized originally at Camp Jackson 1918-03; moved to Pisgah Forest in 1918-06 and became inactive because of the Pisgah Forest Mutiny 1918-07-16 Company A involved.	1919-08	Camp Gordon via Camp Merritt																	
329 Labor Bn	France	Service (Labor) Battalions			Camp Grant	1918-05		Camp Upton	1918-08	Hoboken	1918-08	YES				1919-06	Camp Shelby via Camp Jackson		"A, B, C, D"															
330 Labor Bn	France	Service (Labor) Battalions			Camp Jackson; Camp Wadsworth	1918-06; 1918-06		Camp Merritt	1918-08	Hoboken	1918-09	YES				1919-09	Camp Lee		"A, B, C, D"															
332 Labor Bn	France	Service (Labor) Battalions			Camp Travis	1918-07		Camp Hill	1918-07	Newport News	1918-07	YES				1919-07	Camp Pike via Camp Mills		Med Det															
333 Labor Bn	France	Service (Labor) Battalions			Camp Meade	1918-07				Hoboken	1918-08	YES				1919-06	Camp Meade via Camp Upton		"A, B, C, D, Hq"															
334 Labor Bn	France	Service (Labor) Battalions			Camp Shelby	1918-05		Camp Hill	1918-07	Newport News	1918-07	YES				1919-07	Camp Pike via Camp Mills		C															
336 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-05				Newport News	1918-06	NO				absorbed into 301 Stevedore 1918-08			"A, D"															
337 Labor Bn	France	Service (Labor) Battalions			Camp Hill	1918-05				Newport News	1918-06	NO				absorbed into 301 Stevedore 1918-08			C															
338 Labor Bn	France	Service (Labor) Battalions			Camp Lee	1918-08		Camp Hill	1918-08	Newport News	1918-08	YES		Dropped APO 752 from one card in this unit		1919-07	Camp Dix via Camp Mills		"A, B, C, D"															
339 Labor Bn	France	Service (Labor) Battalions			Camp Alexander	1918-08		Camp Stuart	1918-08	Newport News	1918-09	YES				1919-08	Camp Lee via Camp Merritt		"A, D, H"															
341 Labor Bn	France	Service (Labor) Battalions			Camp Alexander	1918-08				Newport News	1918-09	YES				1919-07	Camp Mills		"C, D"															
342 Labor Bn	France	Service (Labor) Battalions			Camp Alexander	1918-09				Newport News	1918-09	YES				1919-07	Camp Gordon via Norfolk		"A, B, D"															
343 Labor Bn	France	Service (Labor) Battalions			Camp Alexander	1918-09				Newport News	1918-10	YES				1919-07	Camp Hill		"A, C"															
344 Labor Bn	France	Service (Labor) Battalions			Camp Greene	1918-09		Camp Upton	1918-09	Hoboken	1918-09	YES				1919-06	Camp Lee		"A, B, C, D"															
345 Labor Bn	France	Service (Labor) Battalions			Camp Greene	1918-09		Camp Upton	1918-09	Hoboken	1918-09	YES				1919-07	Camp Gordon		"A, B, D"															
346 Labor Bn	France	Service (Labor) Battalions			Camp Greene	1918-09		Camp Merritt	1918-09	Hoboken	1918-09	YES				1919-07	Camp Jackson via Camp Alexander		"A, B, C, D, Hq"															
347 Labor Bn	France	Service (Labor) Battalions			Camp Greene	1918-09		Camp Stuart	1918-10	Newport News	1918-10	YES				1919-06	Camp Lee via Camp Alexander		"A, B, C, D"															
348 Labor Bn	France	Service (Labor) Battalions			Camp Greene	1918-09		Camp Mills	1918-10	Hoboken	1918-10	YES				1919-08	Camp Lee via Camp Mills		"A, B, C, D"															
Stevedore Unit 																																		
701 Stev Bn	France	Stevedore Battalion			Camp Alexander	1918-09				Newport News	1918-10				Short lived unit originally named 701st Engineers but always referenced as a stevedore battalion until transferred to transportation companies in 1918-12	1918-12 converted to TC units			"C, D"															
702 Stev Bn	France	Stevedore Battalion			Camp Alexander	1918-10				Newport News	1918-11				Short lived unit originally named 702nd Engineers but always referenced as a stevedore battalion until transferred to transportation companies in 1918-13	1918-12 converted to TC units			"B, C"															
301 Stev Regt	France	Stevedore Regiments			Camp Hill	1917-09				Hoboken	1917-10	YES		active in the port of St. Nazaire		1918-09 transferred to Transportation Corps			"B, C, E, F, H, K, L, 7"															
302 Stev Regt	France	Stevedore Regiments			Camp Hill	1917-10				Hoboken	1917-12	YES		active in the port of Bordeaux		1918-09 transferred to Transportation Corps			"B, C, E, F, K, Hq, Sup Co., 2, 3, 9, 13"															
303 Stev Regt	France	Stevedore Regiments			Camp Hill	1917-10				Hoboken	1917-12	YES				1918-09 transferred to Transportation Corps			"H, I, L"															
Motor Transport Corps																		Motor Transport Corps																
589 Co MTC	France	Motor Truck Company				1918-10								active with the SOS in France--80-man company with 27 trucks		1919-12																		
Transportation Corps																		Transportation Corps																
Camp 4 Base Sec 2 AEF	France																																	
Camp 4 Base Sec 2 APO 705	France																																	
801 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the Stevedore Battalions	1919-04	Camp Jackson																	
803 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 301st Steveadore Regiment	1919-05	Camp Gordon																	
804 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 301st Steveadore Regiment	1919-06	Camp Gordon																	
806 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 301st Steveadore Regiment	1919-07	Camp Gordon																	
807 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 302nd Steveadore Regiment	1919-07	Camp Jackson																	
808 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 302nd Steveadore Regiment	1919-07	Camp Lee																	
810 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 302nd Steveadore Regiment	1919-07	Camp Gordon																	
811 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 302nd Steveadore Regiment	1919-07	Camp Gordon																	
812 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 302nd Steveadore Regiment	1919-07	Camp Stuart																	
813 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 303rd Steveadore Regiment	1919-07	Camp Shelby																	
814 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 303rd Steveadore Regiment	1919-07	Camp Lee																	
815 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11						YES		"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "	Organized from the 303rd Steveadore Regiment	1919-07	Camp Gordon																	
817 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Travis																	
819 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Gordon																	
821 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Pike																	
824 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Gordon																	
825 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-05	Camp Jackson																	
826 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Gordon																	
827 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-05	Camp Jackson																	
828 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Shelby																	
829 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-06	Camp Shelby																	
830 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Gordon																	
831 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Jackson																	
832 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-06	Camp Lee																	
833 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-05	Camp Jackson																	
834 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Upton																	
835 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-03	Camp Jackson																	
836 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Jackson																	
837 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Jackson																	
841 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Lee																	
842 Co TC	France	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportaton Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Lee																	
